Account,Token Account,Quantity,Percentage
3FhxRX4BoDbCY94HhbhW434873G8nNa8ta582DDCgQ32,CbihtjDnrCY8zpBaL5WmjfyoUu6HPAUSzY4in14wth9A,140818.168889,0.01
GJdSnrB4Wyyru8hQXZnbUJdKSUJ6wKPkGzPVxBDjKadE,BsTyZNGbukCLpxefCPxZdBQRnHkCjswepuqZUid4i2WV,140751.192712,0.01
DFtn59QaXxBS9uUD6n9So5kmAWLvsDCfXaunUP2bYngn,8uLHG9o6PLpwhWxjJG6Nmsx4XjnyfFzUdZEMNNrfbHTj,120000,0.01
9HL9JRrvVRhRTpmEWjdq3eQkjHCpKxARQR9mv3jT88Po,9UgW3nhNNaBtemgSHMixtiFx79L14wbnawbRVNJQHKh3,104332.775567,0.01
E97dpKJsZBrNpXq5VXbTC1Uv6Sso1hFrQrp6zHSNhTa3,2KwvFqqUoNVdRED9dVQw8oFVRKu43Gzbc5erNUvbmqBL,100883.012313,0.01
DRcZ4KweJwwZ3fHoGCHoGWJ8h174fSxWGcB7cwq6Skfx,2EabRcSEvLiojjawYneh5x8aRDYXiSM1UJoY1HYEwPyv,95177.217749,0.01
BiMymZcbGCtsPd43G9csJw5o5kuXQA7oeX2KKMynzkMt,5ciZavikMk4efhM3AC1MdDZ3xNyvD34JqPvGBxBRoK38,94959.553899,0.01
EUbUhHc92ic8yK7RfEesrtAmJQBAZtTMkzyqws7d3V1v,4cctdNpbhCsMtSdfx3VddpdncoYkK9FGVtfCQPnyJfVH,90087.56878,0.01
BuTMXqpDPuNY9oRwx65J7vd8nrdo8A82aEmw2ZoinS3C,BNSL2BVtuJFLEAgz654RX3CvWh1avXyo1vz39h3qdkjj,88318.929955,0.01
2rbMgYvzAb3xDk6vXrzKkY3VwsmyDZsJTkvB3JJYsRzA,AZYwxod3oqCxJ4JXzmGxXhkt8VXKjiMSuM3w48hBcTCg,86141.481336,0.01
AQVoX7isG1Vmc7mkpe4neWzWc1FwAMFxiSquugDyLgtL,GQS4A8mFi1P2t49thk1HQG6ePh8NbeswUmYxTky6F4H1,70362.392376,0.01
7iWnBRRhBCiNXXPhqiGzvvBkKrvFSWqqmxRyu9VyYBxE,2asFZVbWYUKLEpKLUgsrnUDKgrPyQagrjfx5zXg5e2Bj,69258.428838,0.01
4x51JG6Xp4CZRWHkT866KnKwkpGY5aTgseaZS5K6goHh,AEiiWx4UrtKNpNEMVuA3aMqto8DREGmRf2pUudEiCN3h,67835.152226,0.01
AgQ61pMGYyu7ftSww1ZBLJqrJWatA91mRKvyUUW6UZC5,HAVN62EqySgBunciJyJXFBTG6iEuFwSCYbosbWuxWZ2W,59429.903698,0.01
